,month,year,name,link,article
0,1,2017,Drawing youth attention to HIV/AIDS epidemic,http://timesofindia.indiatimes.com//city/chandigarh/drawing-youth-attention-to-hiv/aids-epidemic/articleshow/56622208.cms,"CHANDIGARH: Young people are often the world’s strongest advocates researches have shown that they people are more vulnerable to HIV/AIDS. Young People between the ages of 15-24 are the group most affected by HIV/AIDS accounts for 40% of all adult HIV infections. National Youth day was celebrated reminding the crucial role that young people play in the global response to HIV/AIDS.Chandigarh State AIDS Control Society CSACS to mark National Youth Day organized various awareness programmes in collaboration with NSS wing on ThursdayToday in the city schools and colleges.Bikram Rana, State Liaison Officer, NSS inaugurated the programmes organized by Govt. Model Sr. Secondary Schools, Sector-37 B, 37 D &amp; 38 (West) Chandigarh. The main aim of the awareness programmes were to sensitize youth about HIV/AIDS and to make them aware about ways of HIV transmission and prevention. State Liaison Officer, NSS strongly recommended youth to follow “Abstinence” as the main stay of HIV prevention. He asked the students to be leaders in “making a change” in the society and spread their knowledge in the community to educate them.Sunil Kumar Panghal, CSACS delivered awareness lectures on HIV/AIDS GMSSS, Manimajra Town and GMSSS Sector- 20, Chandigarh. He motivated youth to come forwarded for Voluntary Blood Donation. He also aware them towards the life principles of swami Vivekanand whose birth anniversary is celebrated as National Youth Day. An Oath was administered by the students during the programme to inculcate healthy habits, and shun drug abuse.HIV/AIDS awareness rallies were also taken out by the NSS Volunteers in different schools. "
1,1,2017,"HIV+ mother, girl thrown out of house",http://timesofindia.indiatimes.com//city/kolkata/hiv-mother-girl-thrown-out-of-house/articleshow/56652880.cms,"EGRA: An HIV-positive woman and her daughter in Egra were thrown out of their house by her in-laws for protesting against her husband who hid his HIV-positive status before marriage. The woman, who was diagnosed with HIV during a routine blood test, approached an NGO for treatment. There she learnt that her husband was also on the patients’ list and had been HIV-positive before their marriage in 2014. She has filed a case against her husband and in-laws. East Midnapore SP Alok Rajoria said, “We will act if we find evidence that they were tortured and thrown out.” "
2,1,2017,‘Ya Ratrila Pahat Nahi’ tells story of young HIV victim,http://timesofindia.indiatimes.com//city/nagpur/ya-ratrila-tells-story-of-young-hiv-victim/articleshow/56675273.cms,"NAGPUR: ‘Ya Ratrila Pahat Nahi’, staged by Kamgar Kalyan Kendra, Katol, at the 64th Natya Mahotsav primary competition organized at Kamgar Kalyan Bhavan, Raje Raghuji Nagar, on Wednesday, highlighted how mistakes committed in young age can spoil the career of a person and his loved ones.Raju (Nandkishor Gaikwad) lives with his Aai (Mohini Shirpurkar) and Baba (Pankaj Keche). After he reaches adolescence, he starts indulging in sex to fulfil his desires for which he pays money.At his birthday party, Raju invites his friends, cuts a cake and has a meal together. After the party, Raju goes to see his friends off while his father reads a newspaper. At this time, their family doctor (Ajay Kalbande) enters the room and tells his father that Raju is HIV positive. Traumatized parents of Raju decide not to share this news with Raju, but the doctor insists on telling the truth. Raju’s mother then blames his father for his disease. When Raju learns about the disease, he starts spending time alone in his room. After being convinced by his parents, he starts going out, but his friends do not support him. At the end, Raju dies of HIV. Narrator in the play then asks people to take care of their children. Ashish Deshmukh, Dhiraj Lokhande, Shweta Deshbhratar, Aarti Kavadkar, Shweta Rodle and Ashwini Noroliya feature in the play.Ajay Kalbande was the director of the play written by Nitin Kalbande and Nilesh Jalakamkar. Swati Rodle and Ashwini Noroliya designed the costumes. Mithun Naik did the lighting."
3,1,2017,"Only 1% of R&D funds for HIV, TB, malaria: WHO",http://timesofindia.indiatimes.com//india/only-1-of-rd-funds-for-hiv-tb-malaria-who/articleshow/56746194.cms,"NEW DELHI: Investments in health research and development (R&amp;D) are poorly aligned with global public health needs, the World Health Organisation has said, highlighting that merely 1% of the total funding on health R&amp;D was allocated towards neglected diseases like HIV , tuberculosis and malaria which account for over 12.5% of the global disease burden.“Investments in health R&amp;D are still insufficiently aligned with global public health demands and needs,“ the UN agency said in its assessment which showed that high-income countries had 352 times more health researchers than low-income ones.According to the Global TB Report-2016, India accounts for 24% of global TB cases. Six countries --India, China, Indonesia, Nigeria, Pakistan and South Africa account for 60% of the global total. India is also a hub of multi-drug resistant TB with nearly 480,000 contracting it in 2015.India is under international pressure to tackle the TB problem, as it accounts for 1,400 of the 5,000 TB deaths daily. Though the number of TB deaths has come down in the past few years globally and in India, a huge rural population living with poor sanitation and poor nutrition makes elimination of the disease look like a distant dream.The HIV and malaria burden is also significantly high. In 2015, the number of people living with HIV in India was estimated at 21.17 lakh, with 86,000 new HIV cases in that year.India also accounts for the highest malaria burden outside Africa. Around 7.5 lakh cases and 188 malaria deaths were recorded till September 2016.Recently , gaps in R&amp;D investments and the pipeline for antimicrobial medicines have become a cause of global concern in the context of increasing antimicrobial resistance. The WHO's assessment also seeks higher funding for in the area of antimicrobial resistance, which impedes treatment of critical diseases including TB, malaria, urinary tract infection and even HIV .The WHO assessment shows that R&amp;D investments on neglected diseases in 2014 was around $3.5 billion. Though the investment has increased by 25% since 2007, the growth has declined from 2009."
4,1,2017,"Only 1% of R&D funds spent for HIV, TB and malaria: WHO",http://timesofindia.indiatimes.com//life-style/health-fitness/health-news/only-1-of-rd-funds-spent-for-hiv-tb-and-malaria-who/articleshow/56751817.cms,"Investments in health research and development (R&amp;D) are poorly aligned with global public health needs, the World Health Organisation said, highlighting that merely 1% of the total funding on health R&amp;D was allocated towards neglected diseases like HIV , tuberculosis and malaria which account for more than 12.5% of the global disease burden.“Investments in health R&amp;D are still insufficiently aligned with global public health demands and needs,“ the UN agency said in its as assessment which showed that high income countries had 352 times more health researchers than low income ones.According to the Global Tuberculosis (TB) Re port-2016, India accounts for 24% of global TB cases. Six countries -India, China, Indonesia, Nigeria, Pakistan and South Africa -account for 60% of the global total. India is also the hub for multi-drug resistant TB.India is under international pressure to tackle the national pressure to tackle the TB problem on priority , as it accounts for 1,400 of the 5,000 TB deaths daily worldwide. Though the number of deaths from the disease has come down in the past few years globally as well as in India, but with a huge rural population living with poor sanitation and poor nutrition, elimination of the disease in India looks like a distant dream.The HIV and malaria burden is also significantly high in India. In 2015, the number of people living with HIV in India was estimated at 21.17 lakh, whereas 86,000 new HIV cases were found.India also accounts for the highest malaria burden outside Africa. Around 7.5 lakh cases and 188 malaria deaths were recorded till September 2016. Government estimates show an investment of $18 billion is required to achieve its 2030 deadline to eliminate the disease from India."
5,1,2017,House that gives HIV affected kids hope,http://timesofindia.indiatimes.com//city/nagpur/house-that-gives-hiv-affected-kids-hope/articleshow/56782977.cms,"NAGPUR: Mehul Pinto (name changed), 13, is an intelligent kid who plays the drum well. He is HIV positive, lost his parents at the age of three and his eyesight at the age of eight because of wrong medication. He was living with his aunt, but she did not want him. At this point, Jerryl Hughes came in Mehul’s life who decided to look after him, to which his aunt agreed. And this changed his life for better. Life of Jerryl, who is from the United States, changed after he was diagnosed with HIV. This prompted him to work for the people afflicted with the disease. He started Hughes Foundation at Nagpur in 2004 to spread awareness about the disease and works for HIV affected children along with his partners Sanjay Patil and Khemraj Meshram. Some HIV affected children are also staying with him now.On January 1 this year, the foundation turned a 2BHK house — 66, Mecosabagh, Christian Colony — into a ‘House of Hope’. This house is a special home for HIV affected children between the ages of five and 18. It will be officially inaugurated today, on Republic Day. “I want to raise these kids, educate them and make them healthy people,” he says. But why choose Nagpur? “There are 3,000 children living with HIV in this city,” says Jerryl.Damini Raghuvanishi, 11, is also HIV positive, along with her mother. Her parents are labourers from Madhya Pradesh, living in Pahadi area. Damini’s father is an alcoholic. “Her mother couldn’t effectively raise her three children. When we showed her our hostel, she was willing to send Damini here,” says Patil, programme officer of the foundation, adding, “The four children who stay with us have either lost one or both parents.” “We encourage children to stay with their families. Affected kids from the neighbourhood come every afternoon between 1pm and 3.30pm to play,” adds Jerryl.At the hostel, there are bunk beds, food and sanitation facilities, and one full-time caretaker who does housekeeping, cooks and administers medicines to the inmates. “I’m myself HIV positive,” says caretaker Pradnya Manjhewar, adding, “When my relatives came to know that my daughter and I were affected, they threw us out of the house. Now I live with my kid at the hostel.” A part-time house maid also visits and doctor for HIV is called to visit monthly. The foundation also wants to buy a fridge and a TV, but they need donations, says Meshram, the community director of the foundation. "
6,2,2017,HIV awareness project for jail inmates launched,http://timesofindia.indiatimes.com//city/guwahati/hiv-awareness-project-for-jail-inmates-launched/articleshow/56902941.cms,"GUWAHATI: For the first time in Assam, a prison intervention project (PIP) aimed at scaling up AIDS awareness and counselling among inmates categorised as high risk groups (HRG) was launched as a pilot project at the Guwahati Central Jail on Tuesday. The PIP is part of a collaboration between the state prison department, Assam State Aids Control Society (ASACS), National AIDS Control Organisation (NACO) and Emmanuel Hospital Association, which is acting as an implementing body for PIP along with the state prison department.The PIP aims to bring various established HIV/AIDS intervention programmes at the state level closer to those lodged in central and district jails. ""We don't know how many HIV-positive inmates are lodged in Assam's jails. We have just started the project. We will counsel them and integrate them with intervention programmes,"" said Rebecca of EHA.It will help HIV-positive inmates get access to free counselling and medicines. Once rolled out, the PIP will be replicated in all the jails of Assam. The PIP aims to provide oral/opiod substitution therapy (OST) to drug addicts lodged in prisons. Assam is the last state in the northeast where PIP has been launched. Last year, it was launched at jails of Nagaland, Manipur, Mizoram and Meghalaya.The PIP project is a part of Project Sunshine - a five-year initiative to raise awareness and start intervention programmes for AIDS-affected people in the northeast.""We cannot take HIV-positive inmates to hospitals outside the jail. Through PIP, we will bring mobile integrated counselling and testing centre (ICTC) to the prisons. In prisons, it is seen that there are HRG people like female sex workers, intravenous drug users and others. The PIP will aim at fostering communication and bring the vulnerable people closer to intervention programmes and correct the HRG inmates' behavioural pattern,"" said Kailash Ditya, deputy team leader, Project Sunrise.Project Sunshine is supported by the USA-based federal agency centres for disease control and prevention and implemented by Family Health International 360, a global non-profit development organisation. "
7,2,2017,Common weed may help in fighting HIV,http://timesofindia.indiatimes.com//city/hyderabad/common-weed-may-help-in-fighting-hiv/articleshow/56902984.cms,"HYDERABAD: A weed commonly found on roadsides in Hyderabad and elsewhere in the country may have the potential to fight the human immunodeficiency virus (HIV).Experiments conducted by researchers at the Department of Zoology, Infectious Diseases and Metabolic Diseases Research Laboratory, Kakatiya University in Warangal, show that the molecule obtained from the weed Aerva lanata had up to 91% efficacy in fighting HIV. Synthetic drugs presently used for HIV treatment have side effects. Researchers hope that since the molecule taken from Aerva lanata is natural, it may not have any negative impact.“We have suggested that medical universities and major research institutions conduct clinical research on our laboratory finding to corroborate the results in patients as we cannot do tests on human beings,“ said Dr Estari Mamidala, one of the researchers.The roots of the weed have been in use by tribals in the forests of Khammam fro ages.Tribals have been using the plant for a number of bacterial and viral diseases. “We collected the weed from jungles as part of the ethnomedical research and found it effective in fighting HIV. In fact, tribals have been using the plant for people with HIV-like symptoms,“ Dr Estari told TOI.Dr Estari along with Dr Rajendra Prasad Gujjeti published the lab results in the latest issue of the Pharmacognosy Journal.“The extracts of Aerva la nata showed inhibitory activity on HIV. The results are remarkable and can be used to develop a new drug for HIV treatment or other infectious diseases caused by the pathogenic micro-organisms, for which plant sterols may play a distinctive role,“ Dr Estari said. He said further work is in progress to evaluate the active compound obtained from the weed. “It has the potential to inhibit the enzyme called HIV reverse transcriptase (RT). The highest inhibition was 91%.The least percentage of inhibition was 77.5%. This is as against the anti-HIV drug, which showed 91.7% efficacy,“ he said.He said the plant contains certain phytochemical compounds that make it a potential future drug for HIV. It has substantial medicinal merit. The plant also helps in lowering blood cholesterol levels. The active compound can also provide molecules which could be useful for the synthesis of new broad spectrum antibiotics for treatment of various infections, besides battling HIV ."
8,2,2017,"Hostels for farmers' kids, HIV+ve children on cards",http://timesofindia.indiatimes.com//city/aurangabad/hostels-for-farmers-kids-hivve-children-on-cards/articleshow/56905802.cms,"AURANGABAD: The civic body is working on three initiatives aimed to uplift the underprivileged and neglected sections of the society. The projects in the pipeline are a hostel for children of farmers who committed suicide, hostel for HIV positive kids, and meals to inmates of all the night shelters in the city. Municipal commissioner Om Prakash Bakoria on Monday asked the concerned authorities to finalise the proposals. ""The Aurangabad Municipal Corporation owns eight flats near Mahanubhav Ashram on Piathan road wherein the authorities wish to open a hostel for children of farmers. We plan to start the facility so that the farmers' kids could take education in the city. It will be a free-of-cost facility for them,"" Bakoria said.""Similarly, the AMC owns a building near Dr Babasaheb Ambedkar Research Centre at Aam Khas Maidan that could be allotted for a dedicated hostel for HIV positive children. These kids need special care and hence we are planning to allot them a dedicated and comfortable space,"" he said. In addition to this, the municipal body which is running six night shelters, is trying to rope in non-governmental organisations which could offer meals to the inmates. The civic body is running the night shelters at various spots in association with NGOs, but paucity of funds is affecting facilities at many centres."
9,2,2017,"Shattered by medical report, HIV+ couple hang selves",http://timesofindia.indiatimes.com//city/lucknow/shattered-by-med-report-hiv-couple-hangs-self/articleshow/57261558.cms,"LUCKNOW: Two days after they were diagnosed HIV-positive, a couple in their 30s committed suicide in the early hours of Monday. Residents of Preetinagar in Madiaon, the couple hanged themselves at their home, leaving behind a 10-month-old son and ailing parents. They embraced each other before taking the extreme step and police found it difficult to separate the bodies.At 2am, parents of the man were woken by the incessant wails of the little one. On going to the room, they found their son and his wife hanging from the ceiling with a stole tied around their necks. They called the neighbours who informed police on Dial 100. Aliganj police circle officer Meenakshi Gupta said according to the man’s father, the couple were depressed after being tested HIV+ on Saturday. “We recovered some anti-depressant drugs from the room and medical reports of the couple, though no suicide note was found. Bodies have been sent for post mortem,” said Gupta. According to his father, the man used to work in a private firm in Delhi and got married one-and-a-half-year ago. In December, the firm transferred him to Uttrakhand but he went on leave as he was not keeping well and had developed rashes all over his body. He came to Lucknow along with his wife and son for treatment and was supposed to join office in Uttrakhand on March 1. When treatment did not help, he went to KGMU for complete check up. The couple were advised to go for blood test and they got the report on Saturday stating they were both HIV+. “I was shocked to hear about the test report and we were planning to go for expert advice for further line of treatment but before we could do that, they took the extreme step,” said the father."
